1|FELGI 16 CALI MAMMUTH ET50 PCD6/130|x|999|1050|kpl|0|31.05.2021|22.06.2022|nowe w pudełkach|NIE|
2|Rower Kands DC|da12805123|350|400|x|0|31.05.2021|22.06.2022||NIE|Rower
3|Rower Magnum Nicole|TSL090202422|150|200|X|0|31.05.2021|22.06.2022||NIE|
4|Rower Kellys Wanity 20|KL24102114|550|600|X|0|31.05.2021|22.06.2022||NIE|Rower
5|Rower Storm Barcelone|g158018715|200|550|x|0|31.05.2021|02.07.2021||NIE|
6|Rower Victoria|x|100||x|1|31.05.2021|||TAK|
7|Rower Rayon Alissa|RX14C110|100||X|1|31.05.2021|||TAK|
8|ROWER Rayon Luna|X|200||x|1|31.05.2021|||TAK|
9|Rower Mexller |x|100||x|1|31.05.2021||?|TAK|
10|Rower Arkus Różowy|x|100||x|1|31.05.2021|||TAK|
11|felgi aluminiowe vw 16  z oponami|x|650||x|1|31.05.2021|||TAK|
12|felgi bmw z oponami |x|600||x|1|31.05.2021||makuch|TAK|
13|FELGI BORBET 7,5JX18 ET53  NR. 43734|x|999||kpl pudła|1|31.05.2021|||TAK|
14|FELGI RONAL 8JX18 ET56  NR 25204|x|999|700|kpl pudło|0|31.05.2021|13.07.2021||NIE|
15|kolumny tonsil scherzo 350 350w|x|300|700|x|0|31.05.2021|02.02.2022||NIE|
16|oczyszczacz powietrza ioxy  |1458049500003736|200|200|kpl|0|31.05.2021|17.03.2022||NIE|
17|OXY OCZYSZCZACZ POWIETRZA |158049500002756|300|380|kpl|0|31.05.2021|21.07.2021||NIE|
18|klarstein bornholm qrved ambient 2000w |x|120|310|kpl|0|31.05.2021|26.10.2021||NIE|
19|kosiarka bricomarhe go/on yk1233|x|70||x|1|31.05.2021|||TAK|
20|wieża philips mcm2350/12            |yw2c1713022189/|150||x|1|31.05.2021|||TAK|
21|monitor samsung 931bw |me19h9xq6041847v|50||x|1|31.05.2021|||TAK|
22|TV GO GEN 7831766|700044|250||x|1|31.05.2021|||TAK|
23|thomson 28HZ4233|Z1505016498|250|380||0|31.05.2021|01.06.2021||NIE|
24|Thomson 32hd3301| z1947035867|300|420||0|31.05.2021|12.11.2021||NIE|
25|THOMSON  32HS3013  |Z1619009419 |250|370||0|31.05.2021|02.06.2021||NIE|
26|LG 49UF6857|511WREBQH956|350|350||0|31.05.2021|29.12.2021||NIE|
27|telewizor lg 32lb561b |508wrrtn8414|150||x|1|31.05.2021|||TAK|
28|president johny 3|13815668|150||x|1|31.05.2021|||TAK|
29|ciśnieniomierz omron mit5s|x|150||kpl|1|31.05.2021|||TAK|
30|żelasko ANDERSSON 2500w| 2017131130|40|80||0|31.05.2021|30.07.2021||NIE|
31|drukarka dymo czarno-biała|x|40|||1|31.05.2021|||TAK|
32|żelazko tefal| fv1542e3|50|||1|31.05.2021|||TAK|
33|SZCZOTKA PAROWA FIRST AUSTIRA F1-5647|x|30|60|kpl|0|31.05.2021|09.08.2021||NIE|
